id;mac_address;device_name;rssi;estimated_distance_m;tx_power;timestamp;session_id
1;3C:4F:06:03:74:5C;;-35;0.00;-2147483648;1,77472E+12;session_1774715333436
2;06:65:29:DA:65:E9;Bn4038713;-91;0.00;-2147483648;1,77472E+12;session_1774715333436
3;29:37:CF:43:80:5F;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
4;2D:29:BB:28:0E:80;;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
5;27:A4:43:1F:1F:02;;-42;0.00;-2147483648;1,77472E+12;session_1774715333436
6;05:F2:4F:96:5E:30;;-42;0.00;-2147483648;1,77472E+12;session_1774715333436
7;05:B0:3A:D7:99:0A;;-35;0.00;-2147483648;1,77472E+12;session_1774715333436
8;BC:7E:8B:A7:51:6F;;-91;0.00;-2147483648;1,77472E+12;session_1774715333436
9;20:64:DE:ED:F1:A6;Comedor;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
10;64:E7:D8:91:7B:17;;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
11;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-61;0.00;-2147483648;1,77472E+12;session_1774715333436
12;3D:D3:73:17:40:44;;-35;0.00;-2147483648;1,77472E+12;session_1774715333436
13;47:31:70:7A:DE:DC;;-93;763338.33;24;1,77472E+12;session_1774715333436
14;F8:17:2D:59:E5:86;TY;-80;0.00;-2147483648;1,77472E+12;session_1774715333436
15;CB:37:30:33:44:78;Govee_H619C_4478;-90;0.00;-2147483648;1,77472E+12;session_1774715333436
16;52:9C:F1:9C:87:C7;;-92;1674755535.32;11;1,77472E+12;session_1774715333436
17;FC:F1:36:35:2A:63;;-90;0.00;-2147483648;1,77472E+12;session_1774715333436
18;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-90;0.00;-2147483648;1,77472E+12;session_1774715333436
19;53:0E:DC:F4:D6:AF;;-79;152917944.77;12;1,77472E+12;session_1774715333436
20;98:06:3C:2D:B1:95;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
21;0B:2A:F3:B1:33:9F;;-62;0.00;-2147483648;1,77472E+12;session_1774715333436
22;B0:52:16:D4:AA:5C;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
23;62:A0:FA:DE:D2:B0;;-80;173415299.16;12;1,77472E+12;session_1774715333436
24;68:FC:CA:BC:DA:11;[TV] TV Living;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
25;E8:AA:CB:04:47:55;"43"" The Frame";-97;0.00;-2147483648;1,77472E+12;session_1774715333436
26;7A:E4:08:A5:31:2F;;-95;966993583.69;12;1,77472E+12;session_1774715333436
27;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
28;46:52:4C:D3:3A:A5;;-96;1073741824.00;12;1,77472E+12;session_1774715333436
29;ED:CE:61:80:4B:55;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
30;C8:79:F7:26:21:C4;;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
31;ED:3B:7F:8C:9D:6F;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
32;52:A3:08:D4:34:66;;-99;44860357.70;17;1,77472E+12;session_1774715333436
33;47:BB:2C:BF:10:92;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
34;7C:0A:3F:54:CA:45;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
35;80:47:86:84:B8:C9;;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
36;D4:BF:6F:65:0A:B3;;-90;0.00;-2147483648;1,77472E+12;session_1774715333436
37;A0:D7:F3:C2:B5:CF;Samsung CU8000 43;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
38;27:A4:43:1F:1F:02;;-50;0.00;-2147483648;1,77472E+12;session_1774715333436
39;06:65:29:DA:65:E9;Bn4038713;-85;0.00;-2147483648;1,77472E+12;session_1774715333436
40;D0:03:DF:C5:D8:CD;[TV] Samsung 7 Series (50);-102;0.00;-2147483648;1,77472E+12;session_1774715333436
41;05:F2:4F:96:5E:30;;-50;0.00;-2147483648;1,77472E+12;session_1774715333436
42;3C:4F:06:03:74:5C;;-41;0.00;-2147483648;1,77472E+12;session_1774715333436
43;BC:7E:8B:A7:51:6F;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
44;62:A0:FA:DE:D2:B0;;-84;282475249.00;12;1,77472E+12;session_1774715333436
45;CB:37:30:33:44:78;Govee_H619C_4478;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
46;05:B0:3A:D7:99:0A;;-42;0.00;-2147483648;1,77472E+12;session_1774715333436
47;52:9C:F1:9C:87:C7;;-92;1674755535.32;11;1,77472E+12;session_1774715333436
48;29:37:CF:43:80:5F;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
49;FC:F1:36:35:2A:63;;-84;0.00;-2147483648;1,77472E+12;session_1774715333436
50;53:0E:DC:F4:D6:AF;;-83;250592727.61;12;1,77472E+12;session_1774715333436
51;55:A5:DC:38:A6:8A;Tab S9 de Eduardo;-69;0.00;-2147483648;1,77472E+12;session_1774715333436
52;F8:17:2D:59:E5:86;TY;-85;0.00;-2147483648;1,77472E+12;session_1774715333436
53;46:52:4C:D3:3A:A5;;-95;966993583.69;12;1,77472E+12;session_1774715333436
54;20:64:DE:ED:F1:A6;Comedor;-82;0.00;-2147483648;1,77472E+12;session_1774715333436
